名次,日期,视频名,up主,播放量,弹幕,url
第14名,2022-11-14,巴尔泽布，我再也不登神啦！原神全58位角色秒杀散兵周本合集,早早柚犯困,89.8万,7378,http://www.bilibili.com/video/BV1v841187An
第15名,2022-11-14,下地干活，不就是为了那几只鸡吗,王大姐来了,136.2万,606,http://www.bilibili.com/video/BV1Md4y1c7eg
第16名,2022-11-14,用五边形画缠绕的五角星# 一学就会,安祺爱画画,179.3万,317,http://www.bilibili.com/video/BV1v84y1y7pt
第17名,2022-11-14,黑帮教父的心酸发家史，这也太励志了吧！,昭希燃剪,169.5万,5967,http://www.bilibili.com/video/BV1zg411s7iG
第18名,2022-11-14,“请等我失败死掉后，再来笑我吧”,貂蟬的腿毛,159.2万,351,http://www.bilibili.com/video/BV1H84y1y7sU
第19名,2022-11-14,我的第一条“vlog”，能上热门吗？,导演小策,111.4万,2.3万,http://www.bilibili.com/video/BV1bG4y1f7fj
第20名,2022-11-14,“你看，这个世界好温柔!”,柒杯抹茶星冰乐--,128.5万,3808,http://www.bilibili.com/video/BV1hG411F7uR
第21名,2022-11-14,我是一名煤矿工人，这是我的最后一个夜班，也是最后一个井，平安退休,煤球球爱生活,150.7万,1919,http://www.bilibili.com/video/BV1Et4y1N7Ws
第22名,2022-11-14,【真人QQ飞车】小橘子超进化！,神奇的老皮VFX,142.6万,4212,http://www.bilibili.com/video/BV12d4y1F713
第23名,2022-11-14,原神攻略UP主：这么肝，值得吗？,不普通人类实录,125.9万,6241,http://www.bilibili.com/video/BV1Wd4y1k756
第24名,2022-11-14,《不听话挑战》,某幻君,121.3万,9134,http://www.bilibili.com/video/BV1Ae4y1s71T
第25名,2022-11-14,关于我人生第一把吉他的事故…,涂鸦鱼头侠,134.1万,1544,http://www.bilibili.com/video/BV1sP4y127gJ
第26名,2022-11-14,珠海航展，你确定不是中东双十一？,大漠叔叔,191.4万,1.7万,http://www.bilibili.com/video/BV1wG4y1b7GF
第27名,2022-11-14,【木雕】试作纳西妲,木姬空语,168.7万,2176,http://www.bilibili.com/video/BV1iP4y127QL
第28名,2022-11-14,宝可梦世界锦标赛决赛 小智vs丹帝，完整版6V6全面对战,口袋迷ag,134.1万,1.6万,http://www.bilibili.com/video/BV1BP411c79f
第29名,2022-11-14,你小子就这么糊弄校领导的是罢,雪妖MUsubi,154.6万,914,http://www.bilibili.com/video/BV1he4y1W73u
第30名,2022-11-14,健身10年无人知，妹妹露脸万人来，隔离第16天,张十七历险记,410.9万,9974,http://www.bilibili.com/video/BV1eG4y1t7SK
第31名,2022-11-14,下课千万别睡觉！！,乐天乔宇派,211.2万,464,http://www.bilibili.com/video/BV1NP4y1m7g4
第32名,2022-11-14,东北不能失去酸菜！《二周目》,手艺贾,153.8万,9970,http://www.bilibili.com/video/BV18W4y1s7eP
第33名,2022-11-14,难以置信的一天，我在外网文化输出了！！,我是鹿溟山,225.7万,870,http://www.bilibili.com/video/BV1eG411w7vh
第34名,2022-11-14,客 服 的 名 场 面 变 身 4.0,中国联通客服官方,166.8万,1969,http://www.bilibili.com/video/BV13G4y1b7v8
第35名,2022-11-14,用内心的力量，奔赴未知的远方 | 影石Think bold.,徐云流浪中国,86.9万,6404,http://www.bilibili.com/video/BV1xW4y1s7se
第36名,2022-11-14,一咬就爆汁的鸡腿,澳洲阿彭,123.6万,807,http://www.bilibili.com/video/BV1QP411c7oV
第37名,2022-11-14,喔↑诶！喔↑喔↑,好臭好臭的人,85.1万,885,http://www.bilibili.com/video/BV1JP411c7Hx
第38名,2022-11-14,这是一条不能燃的视频,人民日报,272.3万,3237,http://www.bilibili.com/video/BV1EP4y127j5
第39名,2022-11-14,张 宇 宙,阿萨Aza,40.9万,4302,http://www.bilibili.com/video/BV1ce4y1s7CS
第40名,2022-11-14,【罗伊Roi】最后的皇家3D Live!,罗伊_Roi,31.7万,1.3万,http://www.bilibili.com/video/BV1cd4y1c7yy
第41名,2022-11-14,封印解除Plus,十時十分,85.9万,253,http://www.bilibili.com/video/BV1yt4y1P7mD
第42名,2022-11-14,“就一次，万一呢？”,翠花不太脆,82.8万,769,http://www.bilibili.com/video/BV1Vd4y1k7mx
第43名,2022-11-14,男生的各种超能力，男生还有哪些钞能力？#内容过于真实#搞笑#段子#场景,俺叫玛克希姆,265.7万,629,http://www.bilibili.com/video/BV1od4y1r7jK
第44名,2022-11-14,不为人知！水浒传多出来的20回，讲了什么？《水浒传》P46,木鱼水心,62.5万,9680,http://www.bilibili.com/video/BV1M14y1W7WR
第45名,2022-11-14,都怪我爱心泛滥，我有责任,明仔团队给流浪猫找家,98.2万,1.2万,http://www.bilibili.com/video/BV16G4y1t7cf
第46名,2022-11-14,开一家殡葬店真的赚钱吗？我实地呆上一周给你答案！,敬汉卿,227万,7176,http://www.bilibili.com/video/BV1sP4y12743
第47名,2022-11-14,五个任务的隐藏后续，早看早做完,小早柚原神,48.1万,173,http://www.bilibili.com/video/BV1Re4y1W7qU
第48名,2022-11-14,100支弓箭！实拍亚索风墙！我们终会因热爱走到一起！,剑客范十三,152.5万,752,http://www.bilibili.com/video/BV1Gv4y1m714
第49名,2022-11-14,本来挺喜欢这些动漫的……,-影子a,139.5万,1276,http://www.bilibili.com/video/BV1gP4y127GT
第50名,2022-11-14,来猩猩直播间，回收你们的室友,七颗猩猩QKXX,99.9万,858,http://www.bilibili.com/video/BV1TG4y1b7DK
第51名,2022-11-14,太沙雕了！当我把自己替换成了游戏的主角,中国BOY超级大猩猩,83.1万,6938,http://www.bilibili.com/video/BV1p841187fL
第52名,2022-11-14,【阿斗】史上最羞耻名场面，国外演员太敢拍了！美剧史诗巨作《权力的游戏》第19期,阿斗归来了,97.8万,149,http://www.bilibili.com/video/BV1v841187vf
第53名,2022-11-14,【原神】纳西妲菩萨点化散孩儿,惊悸quasar,80.6万,805,http://www.bilibili.com/video/BV1mG4y1t7yt
第54名,2022-11-14,第一次见现实开挂的！,项真爽,227.2万,1434,http://www.bilibili.com/video/BV1yG4y1Z7pE
第55名,2022-11-14,做视频能遇到欣赏自己视频多粉丝真的也是一种幸运,良田田田,141.2万,907,http://www.bilibili.com/video/BV13d4y1F7hV
第56名,2022-11-14,古人起的雅称是真的美！,正经的知识,57.9万,716,http://www.bilibili.com/video/BV18e4y1W7Qo
第57名,2022-11-14,话梅排骨？,小傲想睡觉,83.6万,9230,http://www.bilibili.com/video/BV16G4y1f79U
第58名,2022-11-14,【2022共创之夜】完整版回放：很高兴遇见你,王者荣耀,411.5万,6861,http://www.bilibili.com/video/BV1n84y1y7Dr
第59名,2022-11-14,锤子都抡冒烟了,英雄联盟泡芙,164.7万,517,http://www.bilibili.com/video/BV1Gm4y1F7AR
第60名,2022-11-14,《 白 蛇 的 替 身 小 卖 部 2.0 》,不寻常的阿尔,71万,761,http://www.bilibili.com/video/BV1eg411s7iE
第61名,2022-11-14,【纯黑】《战神：诸神黄昏》战神难度无伤攻略解说 第二期,-纯黑-,75.6万,5604,http://www.bilibili.com/video/BV1iP4y1y7yC
第62名,2022-11-14,人在珠海，这是我们能拍的吗？！,亿点点不一样,74.6万,1739,http://www.bilibili.com/video/BV1Gg411q7Vo
第63名,2022-11-14,还好我跑得快,小叮当的一家,120.7万,272,http://www.bilibili.com/video/BV1eM411k7R2
第64名,2022-11-14,在舞台上千万不要和好朋友对视,彬彬找乐子,84.9万,417,http://www.bilibili.com/video/BV1xg411q7No
第65名,2022-11-14,1步1步1步1步，用一种很新的方式打开生活,哔哩哔哩广告情报官,734.4万,1440,http://www.bilibili.com/video/BV1fv4y1U7KA
第66名,2022-11-14,B站小伙伴，中部空军正式入驻！芜湖起飞~,中部空军,142.2万,3947,http://www.bilibili.com/video/BV1Td4y1F7CL
第67名,2022-11-14,能看懂这个视频的人成分肯定有亿点复杂,嘿-芝士,99.4万,2491,http://www.bilibili.com/video/BV1JP411c7n6
第68名,2022-11-14,那些写进作文会让老师发麻的游戏台词，建议收藏备用,一个爱吃的猪,89.7万,1173,http://www.bilibili.com/video/BV1Nv4y1m76y
第69名,2022-11-14,《王者荣耀世界》全新实机演示发布,王者荣耀世界,238.4万,1.7万,http://www.bilibili.com/video/BV1jG411F7WV
第70名,2022-11-14,普通长相女生如何通过穿搭改变气质？（报恩神裤篇）,王七四-,100.7万,2001,http://www.bilibili.com/video/BV1fg411B7ze
第71名,2022-11-14,世界顶尖黑客大赛，全是神仙打架......,三太子敖丙,135.6万,1443,http://www.bilibili.com/video/BV1gd4y1b7aK
第72名,2022-11-14,三 国 最 强 男 刀,哦呼w,123.5万,679,http://www.bilibili.com/video/BV1mg411s7xD
第73名,2022-11-14,求求你别玩假原神了！这才是真原神！都市传说！,猹泡饭233,220.2万,2759,http://www.bilibili.com/video/BV1aD4y1t7DY
第74名,2022-11-14,把原神全部的糖塞入一首《心如止水》中「原神/填词/翻唱/心如止水/4K」,龙虾ゞ,38.7万,722,http://www.bilibili.com/video/BV16Y411Z7wJ
第75名,2022-11-14,只因篮球，但是二向箔！,神笔靳强,273.4万,1735,http://www.bilibili.com/video/BV1g14y157df
第76名,2022-11-14,世界上最美的岛屿！断崖绝壁上的旷野之息｜法罗群岛 4K HDR,Linksphotograph,69.3万,2791,http://www.bilibili.com/video/BV1NY411f7rf
第77名,2022-11-14,自助餐螃蟹、惠灵顿牛排随便吃，仨战士来团建了,吃不饱仨战士,128.3万,1417,http://www.bilibili.com/video/BV1hG411w7bY
第78名,2022-11-14,只要「有人受伤！」其余所有玩家全部死亡？？！,萝卜吃米洛,85.1万,3923,http://www.bilibili.com/video/BV1vD4y1x7d5
第79名,2022-11-14,特价切尔西,罪恶岛市,89.6万,2640,http://www.bilibili.com/video/BV1tv4y1S72z
第80名,2022-11-14,周深老师回去得做五天噩梦,尴尬的铁根er,101.1万,4125,http://www.bilibili.com/video/BV1iW4y1s7AM
第81名,2022-11-14,模拟大都市 2016年的存档还在...,悠然小天,86.4万,4660,http://www.bilibili.com/video/BV1W841187rF
第82名,2022-11-14,有时候，笑着笑着就哭了…,朱家寨少寨主,74.4万,317,http://www.bilibili.com/video/BV1oP4y127DN
第83名,2022-11-14,【MEME】别坐着了 一起来跳一跳吧,小椒与小白,40.3万,181,http://www.bilibili.com/video/BV1G14y1W7ig
第84名,2022-11-14,全世界最贵的猪，一条腿卖1万，一年卖8亿，到底有多好吃？,HOLA小测佬,85.6万,5268,http://www.bilibili.com/video/BV15t4y1N7E5
第85名,2022-11-14,【STN快报6.5季13】小岛私密视频被一裸男曝光,STN工作室,68.8万,1.1万,http://www.bilibili.com/video/BV1624y1274p
第86名,2022-11-14,鸦片战争失败后，林则徐人生的最后10年是怎么过的？【细说紫禁·毛立平59】,毛立平,134.5万,6540,http://www.bilibili.com/video/BV1Cd4y1F78F
第87名,2022-11-14,《百面千相》首曝PV——千相阅尽，方知众生百面,百面千相,333.6万,9776,http://www.bilibili.com/video/BV1UK411m7xQ
第88名,2022-11-14,【昊京】全网最详细昊京培养教程！强力主C战狼无敌,-超级小能猫-,98.9万,1736,http://www.bilibili.com/video/BV1t24y127mJ
第89名,2022-11-14,重磅！基德空手出牌教学，他来了！,悍匪魔法师,50.5万,59,http://www.bilibili.com/video/BV1K24y127FR
第90名,2022-11-14,纳西妲：变 聪 明 啦 ~【4K60P】,六二二同学w,54.6万,433,http://www.bilibili.com/video/BV15W4y147xc
第91名,2022-11-14,妻子帮前男友配冥婚，居然是丈夫被女鬼看上！经典网剧《灵魂摆渡》第十三回,小片片说大片,81.1万,5080,http://www.bilibili.com/video/BV1BP411c73f
第92名,2022-11-14,为爱冲锋的勇士，你赢了。,不正经的羔羊,97.3万,441,http://www.bilibili.com/video/BV1324y127FY
第93名,2022-11-14,《这短短二十多秒，让全球石头人宕机一整天》,困困君丶,132.2万,467,http://www.bilibili.com/video/BV15W4y147Mc
第94名,2022-11-14,猫：哇，新玩具~  啊！！！没啦！！,啊啵吃得咦呜鱼,88.2万,151,http://www.bilibili.com/video/BV1Re4y1x7Xj
第95名,2022-11-14,宝可梦神回：小智夺冠！无限泪崩！失去的所有宝可梦们都回来了！,阿壳的破壳梦,124.5万,1582,http://www.bilibili.com/video/BV1sK411o71g
第96名,2022-11-14,老师，相信我！我真的在和班长学习！《班长爱学习》【胶囊计划】,哔哩哔哩寻光,106.3万,3966,http://www.bilibili.com/video/BV12P4y1271H
第97名,2022-11-14,《原神》角色演示-「莱依拉：遥熠星轨」,原神,271.7万,5210,http://www.bilibili.com/video/BV1RG4y1Z7ph
第98名,2022-11-14,宁波. 钱湖渔港  厨子探店¥2？05,真探唐仁杰,117.2万,1732,http://www.bilibili.com/video/BV19g411s7EF
第99名,2022-11-14,被这玩意撅死，敌人一整晚都睡不着觉,仙飘piao,97.7万,383,http://www.bilibili.com/video/BV1z84y1y7gN
第100名,2022-11-14,八九十年代的蓝鸟过家家玩具，可以隔空操控玩偶与场景互动,全球不知道,90.5万,298,http://www.bilibili.com/video/BV1rG4y1f7eS
